method_id	referenceid	criteria	probe_concentration	probeid	name_show	type	cpid	name_competitor	cell_id	experiment_method	Quantitative Method	cp_concentration	remark
LDD1672	REF000132	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0469	CL76	LDCLL0022	SLC ABPP	TMT	50 uM	.
LDD0786	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0469	CL76	LDCLL0031	SLC ABPP	TMT	25 uM	.
LDD1067	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0469	CL76	LDCLL0022	SLC ABPP	TMT	25 uM	.
LDD1348	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0469	CL76	LDCLL0063	SLC ABPP	TMT	25 uM	.
LDD1671	REF000132	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0468	Fragment33	LDCLL0022	SLC ABPP	TMT	50 uM	.
LDD0785	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0468	Fragment33	LDCLL0031	SLC ABPP	TMT	25 uM	.
LDD1066	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0468	Fragment33	LDCLL0022	SLC ABPP	TMT	25 uM	.
LDD1347	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0468	Fragment33	LDCLL0063	SLC ABPP	TMT	25 uM	.
LDD1425	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0468	Fragment33	LDCLL0021	.	Isotope tag	500 uM	.
LDD1426	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0468	Fragment33	LDCLL0042	.	Isotope tag	500 uM	.
LDD2202	REF000029	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0468	Fragment33	LDCLL0042	DIA-ABPP	Isotope tag	500 uM	.
LDD1479	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0468	Fragment33	LDCLC0021	.	Isotope tag	200 uM	.
LDD1670	REF000132	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0467	CL74	LDCLL0022	SLC ABPP	TMT	50 uM	.
LDD0784	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0467	CL74	LDCLL0031	SLC ABPP	TMT	25 uM	.
LDD1065	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0467	CL74	LDCLL0022	SLC ABPP	TMT	25 uM	.
LDD1346	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0467	CL74	LDCLL0063	SLC ABPP	TMT	25 uM	.
LDD1669	REF000132	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0466	CL73	LDCLL0022	SLC ABPP	TMT	50 uM	.
LDD0783	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0466	CL73	LDCLL0031	SLC ABPP	TMT	25 uM	.
LDD1064	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0466	CL73	LDCLL0022	SLC ABPP	TMT	25 uM	.
LDD1345	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0466	CL73	LDCLL0063	SLC ABPP	TMT	25 uM	.
LDD1668	REF000132	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0465	CL72	LDCLL0022	SLC ABPP	TMT	50 uM	.
LDD0782	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0465	CL72	LDCLL0031	SLC ABPP	TMT	25 uM	.
LDD1063	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0465	CL72	LDCLL0022	SLC ABPP	TMT	25 uM	.
LDD1344	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0465	CL72	LDCLL0063	SLC ABPP	TMT	25 uM	.
LDD1667	REF000132	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0464	CL71	LDCLL0022	SLC ABPP	TMT	50 uM	.
LDD0781	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0464	CL71	LDCLL0031	SLC ABPP	TMT	25 uM	.
LDD1062	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0464	CL71	LDCLL0022	SLC ABPP	TMT	25 uM	.
LDD1343	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0464	CL71	LDCLL0063	SLC ABPP	TMT	25 uM	.
LDD1666	REF000132	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0463	CL70	LDCLL0022	SLC ABPP	TMT	50 uM	.
LDD0780	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0463	CL70	LDCLL0031	SLC ABPP	TMT	25 uM	.
LDD1061	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0463	CL70	LDCLL0022	SLC ABPP	TMT	25 uM	.
LDD1342	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0463	CL70	LDCLL0063	SLC ABPP	TMT	25 uM	.
LDD1665	REF000132	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0462	CL7	LDCLL0022	SLC ABPP	TMT	50 uM	.
LDD0779	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0462	CL7	LDCLL0031	SLC ABPP	TMT	25 uM	.
LDD1060	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0462	CL7	LDCLL0022	SLC ABPP	TMT	25 uM	.
LDD1341	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0462	CL7	LDCLL0063	SLC ABPP	TMT	25 uM	.
LDD1664	REF000132	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0461	CL69	LDCLL0022	SLC ABPP	TMT	50 uM	.
LDD0778	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0461	CL69	LDCLL0031	SLC ABPP	TMT	25 uM	.
LDD1059	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0461	CL69	LDCLL0022	SLC ABPP	TMT	25 uM	.
LDD1340	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0461	CL69	LDCLL0063	SLC ABPP	TMT	25 uM	.
LDD1663	REF000132	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0460	CL68	LDCLL0022	SLC ABPP	TMT	50 uM	.
LDD0777	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0460	CL68	LDCLL0031	SLC ABPP	TMT	25 uM	.
LDD1058	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0460	CL68	LDCLL0022	SLC ABPP	TMT	25 uM	.
LDD1339	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0460	CL68	LDCLL0063	SLC ABPP	TMT	25 uM	.
LDD1662	REF000132	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0459	CL67	LDCLL0022	SLC ABPP	TMT	50 uM	.
LDD0776	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0459	CL67	LDCLL0031	SLC ABPP	TMT	25 uM	.
LDD1057	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0459	CL67	LDCLL0022	SLC ABPP	TMT	25 uM	.
LDD1338	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0459	CL67	LDCLL0063	SLC ABPP	TMT	25 uM	.
LDD1661	REF000132	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0458	CL66	LDCLL0022	SLC ABPP	TMT	50 uM	.
LDD0775	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0458	CL66	LDCLL0031	SLC ABPP	TMT	25 uM	.
LDD1056	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0458	CL66	LDCLL0022	SLC ABPP	TMT	25 uM	.
LDD1337	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0458	CL66	LDCLL0063	SLC ABPP	TMT	25 uM	.
LDD1660	REF000132	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0457	CL65	LDCLL0022	SLC ABPP	TMT	50 uM	.
LDD0774	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0457	CL65	LDCLL0031	SLC ABPP	TMT	25 uM	.
LDD1055	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0457	CL65	LDCLL0022	SLC ABPP	TMT	25 uM	.
LDD1336	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0457	CL65	LDCLL0063	SLC ABPP	TMT	25 uM	.
LDD1659	REF000132	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0456	CL64	LDCLL0022	SLC ABPP	TMT	50 uM	.
LDD0773	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0456	CL64	LDCLL0031	SLC ABPP	TMT	25 uM	.
LDD1054	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0456	CL64	LDCLL0022	SLC ABPP	TMT	25 uM	.
LDD1335	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0456	CL64	LDCLL0063	SLC ABPP	TMT	25 uM	.
LDD1658	REF000132	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0455	CL63	LDCLL0022	SLC ABPP	TMT	50 uM	.
LDD0772	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0455	CL63	LDCLL0031	SLC ABPP	TMT	25 uM	.
LDD1053	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0455	CL63	LDCLL0022	SLC ABPP	TMT	25 uM	.
LDD1334	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0455	CL63	LDCLL0063	SLC ABPP	TMT	25 uM	.
LDD1657	REF000132	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0454	CL62	LDCLL0022	SLC ABPP	TMT	50 uM	.
LDD0771	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0454	CL62	LDCLL0031	SLC ABPP	TMT	25 uM	.
LDD1052	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0454	CL62	LDCLL0022	SLC ABPP	TMT	25 uM	.
LDD1333	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0454	CL62	LDCLL0063	SLC ABPP	TMT	25 uM	.
LDD1656	REF000132	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0453	CL61	LDCLL0022	SLC ABPP	TMT	50 uM	.
LDD0770	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0453	CL61	LDCLL0031	SLC ABPP	TMT	25 uM	.
LDD1051	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0453	CL61	LDCLL0022	SLC ABPP	TMT	25 uM	.
LDD1332	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0453	CL61	LDCLL0063	SLC ABPP	TMT	25 uM	.
LDD1655	REF000132	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0452	CL60	LDCLL0022	SLC ABPP	TMT	50 uM	.
LDD0769	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0452	CL60	LDCLL0031	SLC ABPP	TMT	25 uM	.
LDD1050	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0452	CL60	LDCLL0022	SLC ABPP	TMT	25 uM	.
LDD1331	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0452	CL60	LDCLL0063	SLC ABPP	TMT	25 uM	.
LDD1654	REF000132	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0451	CL6	LDCLL0022	SLC ABPP	TMT	50 uM	.
LDD0768	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0451	CL6	LDCLL0031	SLC ABPP	TMT	25 uM	.
LDD1049	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0451	CL6	LDCLL0022	SLC ABPP	TMT	25 uM	.
LDD1330	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0451	CL6	LDCLL0063	SLC ABPP	TMT	25 uM	.
LDD1653	REF000132	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0450	CL59	LDCLL0022	SLC ABPP	TMT	50 uM	.
LDD0767	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0450	CL59	LDCLL0031	SLC ABPP	TMT	25 uM	.
LDD1048	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0450	CL59	LDCLL0022	SLC ABPP	TMT	25 uM	.
LDD1329	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0450	CL59	LDCLL0063	SLC ABPP	TMT	25 uM	.
LDD1652	REF000132	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0449	CL58	LDCLL0022	SLC ABPP	TMT	50 uM	.
LDD0766	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0449	CL58	LDCLL0031	SLC ABPP	TMT	25 uM	.
LDD1047	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0449	CL58	LDCLL0022	SLC ABPP	TMT	25 uM	.
LDD1328	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0449	CL58	LDCLL0063	SLC ABPP	TMT	25 uM	.
LDD1651	REF000132	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0448	CL57	LDCLL0022	SLC ABPP	TMT	50 uM	.
LDD0765	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0448	CL57	LDCLL0031	SLC ABPP	TMT	25 uM	.
LDD1046	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0448	CL57	LDCLL0022	SLC ABPP	TMT	25 uM	.
LDD1327	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0448	CL57	LDCLL0063	SLC ABPP	TMT	25 uM	.
LDD1650	REF000132	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0447	CL56	LDCLL0022	SLC ABPP	TMT	50 uM	.
LDD0764	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0447	CL56	LDCLL0031	SLC ABPP	TMT	25 uM	.
LDD1045	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0447	CL56	LDCLL0022	SLC ABPP	TMT	25 uM	.
LDD1326	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0447	CL56	LDCLL0063	SLC ABPP	TMT	25 uM	.
LDD1649	REF000132	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0446	CL55	LDCLL0022	SLC ABPP	TMT	50 uM	.
LDD0763	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0446	CL55	LDCLL0031	SLC ABPP	TMT	25 uM	.
LDD1044	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0446	CL55	LDCLL0022	SLC ABPP	TMT	25 uM	.
LDD1325	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0446	CL55	LDCLL0063	SLC ABPP	TMT	25 uM	.
LDD1648	REF000132	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0445	CL54	LDCLL0022	SLC ABPP	TMT	50 uM	.
LDD0762	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0445	CL54	LDCLL0031	SLC ABPP	TMT	25 uM	.
LDD1043	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0445	CL54	LDCLL0022	SLC ABPP	TMT	25 uM	.
LDD1324	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0445	CL54	LDCLL0063	SLC ABPP	TMT	25 uM	.
LDD1647	REF000132	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0444	CL53	LDCLL0022	SLC ABPP	TMT	50 uM	.
LDD0761	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0444	CL53	LDCLL0031	SLC ABPP	TMT	25 uM	.
LDD1042	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0444	CL53	LDCLL0022	SLC ABPP	TMT	25 uM	.
LDD1323	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0444	CL53	LDCLL0063	SLC ABPP	TMT	25 uM	.
LDD1646	REF000132	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0443	CL52	LDCLL0022	SLC ABPP	TMT	50 uM	.
LDD0760	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0443	CL52	LDCLL0031	SLC ABPP	TMT	25 uM	.
LDD1041	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0443	CL52	LDCLL0022	SLC ABPP	TMT	25 uM	.
LDD1322	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0443	CL52	LDCLL0063	SLC ABPP	TMT	25 uM	.
LDD0759	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0442	CL51	LDCLL0031	SLC ABPP	TMT	25 uM	.
LDD1040	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0442	CL51	LDCLL0022	SLC ABPP	TMT	25 uM	.
LDD1321	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0442	CL51	LDCLL0063	SLC ABPP	TMT	25 uM	.
LDD1645	REF000132	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0441	CL50	LDCLL0022	SLC ABPP	TMT	50 uM	.
LDD0758	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0441	CL50	LDCLL0031	SLC ABPP	TMT	25 uM	.
LDD1039	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0441	CL50	LDCLL0022	SLC ABPP	TMT	25 uM	.
LDD1320	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0441	CL50	LDCLL0063	SLC ABPP	TMT	25 uM	.
LDD1644	REF000132	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0440	CL5	LDCLL0022	SLC ABPP	TMT	50 uM	.
LDD0757	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0440	CL5	LDCLL0031	SLC ABPP	TMT	25 uM	.
LDD1038	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0440	CL5	LDCLL0022	SLC ABPP	TMT	25 uM	.
LDD1319	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0440	CL5	LDCLL0063	SLC ABPP	TMT	25 uM	.
LDD1643	REF000132	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0439	CL49	LDCLL0022	SLC ABPP	TMT	50 uM	.
LDD0756	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0439	CL49	LDCLL0031	SLC ABPP	TMT	25 uM	.
LDD1037	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0439	CL49	LDCLL0022	SLC ABPP	TMT	25 uM	.
LDD1318	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0439	CL49	LDCLL0063	SLC ABPP	TMT	25 uM	.
LDD1642	REF000132	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0438	CL48	LDCLL0022	SLC ABPP	TMT	50 uM	.
LDD0755	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0438	CL48	LDCLL0031	SLC ABPP	TMT	25 uM	.
LDD1036	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0438	CL48	LDCLL0022	SLC ABPP	TMT	25 uM	.
LDD1317	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0438	CL48	LDCLL0063	SLC ABPP	TMT	25 uM	.
LDD1641	REF000132	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0437	CL47	LDCLL0022	SLC ABPP	TMT	50 uM	.
LDD0754	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0437	CL47	LDCLL0031	SLC ABPP	TMT	25 uM	.
LDD1035	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0437	CL47	LDCLL0022	SLC ABPP	TMT	25 uM	.
LDD1316	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0437	CL47	LDCLL0063	SLC ABPP	TMT	25 uM	.
LDD1640	REF000132	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0436	CL46	LDCLL0022	SLC ABPP	TMT	50 uM	.
LDD0753	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0436	CL46	LDCLL0031	SLC ABPP	TMT	25 uM	.
LDD1034	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0436	CL46	LDCLL0022	SLC ABPP	TMT	25 uM	.
LDD1315	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0436	CL46	LDCLL0063	SLC ABPP	TMT	25 uM	.
LDD1639	REF000132	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0435	CL45	LDCLL0022	SLC ABPP	TMT	50 uM	.
LDD0752	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0435	CL45	LDCLL0031	SLC ABPP	TMT	25 uM	.
LDD1033	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0435	CL45	LDCLL0022	SLC ABPP	TMT	25 uM	.
LDD1314	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0435	CL45	LDCLL0063	SLC ABPP	TMT	25 uM	.
LDD1638	REF000132	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0434	CL44	LDCLL0022	SLC ABPP	TMT	50 uM	.
LDD0751	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0434	CL44	LDCLL0031	SLC ABPP	TMT	25 uM	.
LDD1032	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0434	CL44	LDCLL0022	SLC ABPP	TMT	25 uM	.
